RunAcc,Strain,BioSample,Center,Experiment,Project,Organism
SRR3468023,Tucson_1,SAMN04901239,TGEN NORTH,SRX1737473,PRJNA274372,Coccidioides posadasii
SRR3468024,Tucson_2,SAMN04901240,TGEN NORTH,SRX1737474,PRJNA274372,Coccidioides posadasii
SRR3468025,Tucson_3,SAMN04901241,TGEN NORTH,SRX1737475,PRJNA274372,Coccidioides posadasii
SRR3468026,Tucson_4,SAMN04901242,TGEN NORTH,SRX1737476,PRJNA274372,Coccidioides posadasii
SRR3468028,Tucson_5,SAMN04901243,TGEN NORTH,SRX1737478,PRJNA274372,Coccidioides posadasii
SRR3468029,Tucson_6,SAMN04901244,TGEN NORTH,SRX1737479,PRJNA274372,Coccidioides posadasii
SRR3468030,Tucson_7,SAMN04901245,TGEN NORTH,SRX1737480,PRJNA274372,Coccidioides posadasii
SRR3468031,Tucson_8,SAMN04901246,TGEN NORTH,SRX1737481,PRJNA274372,Coccidioides posadasii
SRR3468032,Tucson_9,SAMN04901247,TGEN NORTH,SRX1737482,PRJNA274372,Coccidioides posadasii
SRR3468033,Tucson_10,SAMN04901248,TGEN NORTH,SRX1737483,PRJNA274372,Coccidioides posadasii
SRR3468034,Tucson_11,SAMN04901249,TGEN NORTH,SRX1737484,PRJNA274372,Coccidioides posadasii
SRR3468035,Tucson_12,SAMN04901250,TGEN NORTH,SRX1737485,PRJNA274372,Coccidioides posadasii
SRR3468036,Tucson_13,SAMN04901251,TGEN NORTH,SRX1737486,PRJNA274372,Coccidioides posadasii
SRR3468037,Tucson_14,SAMN04901252,TGEN NORTH,SRX1737487,PRJNA274372,Coccidioides posadasii
SRR3468039,Tucson_15,SAMN04901253,TGEN NORTH,SRX1737489,PRJNA274372,Coccidioides posadasii
SRR3468040,Tucson_16,SAMN04901254,TGEN NORTH,SRX1737490,PRJNA274372,Coccidioides posadasii
SRR3468041,Tucson_17,SAMN04901255,TGEN NORTH,SRX1737491,PRJNA274372,Coccidioides posadasii
SRR3468042,Tucson_18,SAMN04901256,TGEN NORTH,SRX1737492,PRJNA274372,Coccidioides posadasii
SRR3468043,Tucson_19,SAMN04901257,TGEN NORTH,SRX1737493,PRJNA274372,Coccidioides posadasii
SRR3468044,Tucson_20,SAMN04901258,TGEN NORTH,SRX1737494,PRJNA274372,Coccidioides posadasii
SRR3468045,Tucson_21,SAMN04901259,TGEN NORTH,SRX1737495,PRJNA274372,Coccidioides posadasii
SRR3468046,Tucson_22,SAMN04901260,TGEN NORTH,SRX1737496,PRJNA274372,Coccidioides posadasii
SRR3468047,Tucson_23,SAMN04901261,TGEN NORTH,SRX1737497,PRJNA274372,Coccidioides posadasii
SRR3468048,San_Antonio_1,SAMN04901262,TGEN NORTH,SRX1737498,PRJNA274372,Coccidioides posadasii
SRR3468050,Colorado_Springs_1,SAMN04901263,TGEN NORTH,SRX1737500,PRJNA274372,Coccidioides posadasii
SRR3468051,Sonora_1,SAMN04901264,TGEN NORTH,SRX1737501,PRJNA274372,Coccidioides posadasii
