RunAcc,Strain,BioSample,Center,Experiment,Project,Organism
SRR3468052,Sonora_2,SAMN04901265,TGEN NORTH,SRX1737502,PRJNA274372,Coccidioides posadasii
SRR3468053,Coahuila_2,SAMN04901266,TGEN NORTH,SRX1737503,PRJNA274372,Coccidioides posadasii
SRR3468054,Phoenix_1,SAMN04901267,TGEN NORTH,SRX1737504,PRJNA274372,Coccidioides posadasii
SRR3468055,Phoenix_2,SAMN04901268,TGEN NORTH,SRX1737505,PRJNA274372,Coccidioides posadasii
SRR3468056,Phoenix_3,SAMN04901269,TGEN NORTH,SRX1737506,PRJNA274372,Coccidioides posadasii
SRR3468057,Phoenix_4,SAMN04901270,TGEN NORTH,SRX1737507,PRJNA274372,Coccidioides posadasii
SRR3468058,Phoenix_5,SAMN04901271,TGEN NORTH,SRX1737508,PRJNA274372,Coccidioides posadasii
SRR3468059,Phoenix_6,SAMN04901272,TGEN NORTH,SRX1737509,PRJNA274372,Coccidioides posadasii
SRR3468061,Phoenix_7,SAMN04901273,TGEN NORTH,SRX1737511,PRJNA274372,Coccidioides posadasii
SRR3468062,Phoenix_8,SAMN04901274,TGEN NORTH,SRX1737512,PRJNA274372,Coccidioides posadasii
SRR3468063,Phoenix_9,SAMN04901275,TGEN NORTH,SRX1737513,PRJNA274372,Coccidioides posadasii
SRR3468064,Nuevo_Leon_1,SAMN04901276,TGEN NORTH,SRX1737514,PRJNA274372,Coccidioides posadasii
SRR3468065,Nuevo_Leon_2,SAMN04901277,TGEN NORTH,SRX1737515,PRJNA274372,Coccidioides posadasii
SRR3468066,Michoacan_1,SAMN04901278,TGEN NORTH,SRX1737516,PRJNA274372,Coccidioides posadasii
SRR3468067,B0858_Guatemala,SAMN04901279,TGEN NORTH,SRX1737517,PRJNA274372,Coccidioides posadasii
SRR3468068,B10757_Nevada,SAMN04901280,TGEN NORTH,SRX1737518,PRJNA274372,Coccidioides posadasii
SRR3468069,B10813_Texas,SAMN04901281,TGEN NORTH,SRX1737519,PRJNA274372,Coccidioides posadasii
SRR3468070,B1249_Guatemala,SAMN04901282,TGEN NORTH,SRX1737520,PRJNA274372,Coccidioides posadasii
SRR3468072,B5773_Brazil,SAMN04901283,TGEN NORTH,SRX1737522,PRJNA274372,Coccidioides posadasii
SRR3468073,Tucson_24,SAMN04901284,TGEN NORTH,SRX1737523,PRJNA274372,Coccidioides posadasii
SRR3468074,GT017_Paraguay,SAMN04901285,TGEN NORTH,SRX1737524,PRJNA274372,Coccidioides posadasii
SRR3468075,GT002_Texas,SAMN04901286,TGEN NORTH,SRX1737525,PRJNA274372,Coccidioides posadasii
SRR3468076,730332_Guatemala,SAMN04901287,TGEN NORTH,SRX1737526,PRJNA274372,Coccidioides posadasii
SRR3468077,730333_Guatelama,SAMN04901288,TGEN NORTH,SRX1737527,PRJNA274372,Coccidioides posadasii
SRR3468078,730334_Guatemala,SAMN04901289,TGEN NORTH,SRX1737528,PRJNA274372,Coccidioides posadasii
